,topic/subtopic_name/doc,sent_id,token_id,token,reference
0,0/3_peru/349699,0,0,CANADA,-
1,0/3_peru/349699,0,1,:,-
2,0/3_peru/349699,0,2,Japan,-
3,0/3_peru/349699,0,3,",",-
4,0/3_peru/349699,0,4,Peru,-
5,0/3_peru/349699,0,5,take,-
6,0/3_peru/349699,0,6,tough,-
7,0/3_peru/349699,0,7,stand,-
8,0/3_peru/349699,0,8,on,-
9,0/3_peru/349699,0,9,guerrilla,-
10,0/3_peru/349699,0,10,demands,-
11,0/3_peru/349699,0,11,.,-
12,0/3_peru/349699,1,0,Japan,(GPEB7kSHPTob2MBSSJEmhKiGw)| (GPEB7kSHPTob2MBSSJEmhKiGw
13,0/3_peru/349699,1,1,",",-
14,0/3_peru/349699,1,2,Peru,GPEB7kSHPTob2MBSSJEmhKiGw)| (GPEnfwCrFQ6vmZpJH7E2fD3jF)
15,0/3_peru/349699,1,3,take,-
16,0/3_peru/349699,1,4,tough,(OTHNFcPHEdgqyexjH5M7T6wMY
17,0/3_peru/349699,1,5,stand,-
18,0/3_peru/349699,1,6,on,-
19,0/3_peru/349699,1,7,guerrilla,(OTHDgiUmxaQSc9HhjjG3iZfWG
20,0/3_peru/349699,1,8,demands,OTHNFcPHEdgqyexjH5M7T6wMY)| OTHDgiUmxaQSc9HhjjG3iZfWG)
21,0/3_peru/349699,1,9,.,-
22,0/3_peru/349699,2,0,Walker,-
23,0/3_peru/349699,2,1,Simon,-
24,0/3_peru/349699,3,0,TORONTO,-
25,0/3_peru/349699,3,1,1997-02-01,-
26,0/3_peru/349699,4,0,Japan,(GPEB7kSHPTob2MBSSJEmhKiGw)| (GPEB7kSHPTob2MBSSJEmhKiGw
27,0/3_peru/349699,4,1,and,-
28,0/3_peru/349699,4,2,Peru,GPEB7kSHPTob2MBSSJEmhKiGw)| (GPEnfwCrFQ6vmZpJH7E2fD3jF)
29,0/3_peru/349699,4,3,on,-
30,0/3_peru/349699,4,4,Saturday,(DATmZSDyXRVtQpnwgeSSPgiDv)
31,0/3_peru/349699,4,5,took,-
32,0/3_peru/349699,4,6,a,(OTHNFcPHEdgqyexjH5M7T6wMY
33,0/3_peru/349699,4,7,tough,-
34,0/3_peru/349699,4,8,stand,-
35,0/3_peru/349699,4,9,on,-
36,0/3_peru/349699,4,10,rebel,(OTHDgiUmxaQSc9HhjjG3iZfWG
37,0/3_peru/349699,4,11,demands,-
38,0/3_peru/349699,4,12,in,-
39,0/3_peru/349699,4,13,the,(DATiEeEQeJiT5Rb4XHNNdb3oU
40,0/3_peru/349699,4,14,Lima,-
41,0/3_peru/349699,4,15,hostage,-
42,0/3_peru/349699,4,16,crisis,DATiEeEQeJiT5Rb4XHNNdb3oU)| OTHNFcPHEdgqyexjH5M7T6wMY)| OTHDgiUmxaQSc9HhjjG3iZfWG)
43,0/3_peru/349699,4,17,",",-
44,0/3_peru/349699,4,18,but,-
45,0/3_peru/349699,4,19,their,(GPEB7kSHPTob2MBSSJEmhKiGw)| (OTHNFcPHEdgqyexjH5M7T6wMY
46,0/3_peru/349699,4,20,accord,OTHNFcPHEdgqyexjH5M7T6wMY)
47,0/3_peru/349699,4,21,was,-
48,0/3_peru/349699,4,22,swiftly,-
49,0/3_peru/349699,4,23,rejected,-
50,0/3_peru/349699,4,24,by,-
51,0/3_peru/349699,4,25,the,(ORGX5wHnk3JQZG82iMhLCJAdv
52,0/3_peru/349699,4,26,guerrillas,-
53,0/3_peru/349699,4,27,holding,-
54,0/3_peru/349699,4,28,72,(PERSkHDynzH8JAfUpwa2qUmt9
55,0/3_peru/349699,4,29,captives,PERSkHDynzH8JAfUpwa2qUmt9)
56,0/3_peru/349699,4,30,in,-
57,0/3_peru/349699,4,31,the,(NOR7pfnEN9UJnX7wCZsZd2eNE| (NORMXrgiNRTeWeqVsb7TM5JVw
58,0/3_peru/349699,4,32,Japanese,-
59,0/3_peru/349699,4,33,ambassador's,NORMXrgiNRTeWeqVsb7TM5JVw)
60,0/3_peru/349699,4,34,residence,ORGX5wHnk3JQZG82iMhLCJAdv)| NOR7pfnEN9UJnX7wCZsZd2eNE)
61,0/3_peru/349699,4,35,.,-
62,0/3_peru/349699,5,0,At,-
63,0/3_peru/349699,5,1,an,(TIMXban3SNofVCMP7hwfrnPvW
64,0/3_peru/349699,5,2,emergency,-
65,0/3_peru/349699,5,3,summit,-
66,0/3_peru/349699,5,4,in,-
67,0/3_peru/349699,5,5,Toronto,TIMXban3SNofVCMP7hwfrnPvW)| (GPEVc2MFxLbFSrW4sTxPeBNZj)
68,0/3_peru/349699,5,6,",",-
69,0/3_peru/349699,5,7,the,(OTHH5852SiCBmi9XJC3xBZFxv
70,0/3_peru/349699,5,8,leaders,-
71,0/3_peru/349699,5,9,of,-
72,0/3_peru/349699,5,10,both,(GPEB7kSHPTob2MBSSJEmhKiGw
73,0/3_peru/349699,5,11,nations,GPEB7kSHPTob2MBSSJEmhKiGw)| OTHH5852SiCBmi9XJC3xBZFxv)
74,0/3_peru/349699,5,12,agreed,-
75,0/3_peru/349699,5,13,to,-
76,0/3_peru/349699,5,14,push,-
77,0/3_peru/349699,5,15,for,-
78,0/3_peru/349699,5,16,direct,(OTHoS8a6pcNazDrsJmvQCF6VT
79,0/3_peru/349699,5,17,talks,-
80,0/3_peru/349699,5,18,with,-
81,0/3_peru/349699,5,19,the,(ORGX5wHnk3JQZG82iMhLCJAdv
